miRNA name	H1	H2	H3	H4	H5	H6	H7	H8	H9	L1	L10	L2	L3	L4	L5	L6	L7	L8	L9	S1	S2	S3	S4	S5	S6	S7	S8	S9	HC	LN	SLE
hsa-miR-3064-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0816	0	0	0	0	0	1.786844
hsa-miR-3065-3p	0	0	79.4926	0	0	53.4445	24.995	111.7398	0	252.2227	0	0	62.8437	98.4986	44.7027	77.3062	88.9249	106.0108	0	0	151.2402	0	59.7593	42.5396	0	0	54.3774	0	29.963544	73.05096	34.212944
hsa-miR-3065-5p	0	0	62.4585	31.744	44.3941	106.889	112.4775	0	0	189.167	0	0	219.9529	42.2137	89.4055	375.4873	49.4027	176.6847	319.1829	0	75.6201	0	59.7593	127.6188	64.3263	431.2469	0	86.9792	39.773678	146.14967	93.950067
hsa-miR-3074-3p	0	0	0	0	11.0985	0	24.995	0	0	0	0	0	31.4218	0	0	0	0	0	0	0	113.4301	0	11.9519	0	0	0	0	0	4.010389	3.14218	13.931333
hsa-miR-30a-3p	25802.4592	51957.9355	48967.4478	51679.2585	57312.8232	34257.9231	43853.7293	37382.0383	47870.8404	52462.3242	1059.8834	29531.3882	19073.0558	44394.7261	49664.7295	45665.8826	43958.5412	23287.0419	15799.5531	36942.5631	53539.02	35409.2036	40935.1134	48473.8913	43275.4933	38196.1557	41653.0723	25658.8675	44342.71726	32489.7126	40453.70891
hsa-miR-30a-5p	1345.2794	1522.07	1731.8033	1968.129	1231.9371	587.8895	1562.1876	1432.3009	1480.5415	2017.7817	0	1768.3466	1068.3425	2856.4594	2056.3254	2186.6614	2272.5252	1166.1189	638.3658	615.7094	1247.7314	688.895	1721.0675	2105.7109	1833.2985	2341.0547	2229.4725	173.9584	1429.126478	1603.09269	1439.655367
hsa-miR-30b-3p	0	484.295	210.0876	95.232	255.2663	213.778	112.4775	314.903	634.5178	252.2227	0	0	314.2184	337.7095	134.1082	121.4812	59.2833	600.7279	0	87.9585	226.8603	413.337	370.5076	446.666	176.8972	369.6402	435.019	260.9376	257.839689	181.97512	309.758156
hsa-miR-30b-5p	2017.9191	5050.5051	5655.3314	4253.6982	3618.1217	1443.0014	4861.5277	2702.0712	4794.1342	3594.1737	0	884.1733	1351.139	3433.3798	4380.8672	3655.4794	4070.7842	2826.955	2234.2802	1495.2942	3440.7139	2204.464	3430.1832	5466.3405	3939.9836	2341.0547	5437.7379	2348.4387	3821.812222	2643.12318	3344.9123
hsa-miR-30c-1-3p	53.8112	138.37	124.917	158.7201	122.0839	427.556	112.4775	182.8469	70.502	0	0	176.8347	125.6874	182.926	223.5136	132.5249	167.9693	35.3369	0	263.8755	302.4803	413.337	107.5667	170.1585	289.4682	61.6067	0	86.9792	154.587178	104.47928	188.385789
hsa-miR-30c-2-3p	672.6397	622.665	1135.6087	1047.5525	921.1782	1015.4455	699.86	1076.7652	423.0118	2017.7817	0	1768.3466	1068.3425	1575.9776	1206.9736	1391.5118	1798.259	2084.8793	957.5487	439.7924	1285.5414	688.895	1828.6343	1488.8865	1254.3621	1540.1676	1413.8119	782.8129	846.080733	1386.96208	1191.433789
hsa-miR-30c-5p	4762.2891	9824.2701	11855.755	9967.6211	9400.4573	4329.0043	12447.5105	7120.872	10504.7941	7566.6814	529.9417	9549.0716	5058.9159	10131.2846	8761.7345	12755.5246	9880.5442	7562.1047	3830.1947	2550.796	8507.2595	6751.1711	7565.5261	11358.0772	8265.9248	6653.5239	11092.9853	4348.9606	8912.508167	7562.59979	7454.913833
hsa-miR-30d-3p	107.6224	138.37	397.4631	317.4402	332.956	53.4445	249.95	172.6888	141.0039	252.2227	0	0	62.8437	337.7095	89.4055	276.0936	59.2833	35.3369	0	87.9585	189.0502	964.453	191.2297	531.7452	273.3866	61.6067	435.019	347.9168	212.326544	111.28952	342.485078
hsa-miR-30d-5p	645.7341	1176.145	1385.4426	698.3684	754.7002	374.1115	849.83	761.8622	1974.0553	504.4454	0	0	408.4839	689.4902	894.0545	574.2747	810.2046	565.391	957.5487	175.917	491.5306	1102.232	693.2078	957.1413	450.2838	800.8871	1087.5476	434.8961	957.805478	540.3893	688.182589
hsa-miR-30e-3p	8367.638	13421.8901	12292.9643	14475.2714	11930.9227	7696.0077	10997.8004	8725.8617	14311.9007	8323.3495	264.9709	5305.0398	4713.2757	6163.1981	11041.5735	7045.9088	6649.6063	4205.0956	4787.7434	11962.3538	12741.9843	9506.7512	7661.1409	12442.8374	9568.5316	8994.5786	10277.3246	8436.9836	11357.80633	5849.97616	10176.94289
hsa-miR-30e-5p	295.9615	207.555	403.1411	476.1602	199.7736	213.778	249.95	203.1633	211.5059	126.1114	0	884.1733	408.4839	506.5642	759.9464	176.6999	464.3856	424.0433	159.5914	0	567.1506	826.674	298.7964	510.4754	402.0391	369.6402	217.5095	347.9168	273.443178	390.99994	393.355778
hsa-miR-31-3p	53.8112	69.185	51.1024	158.7201	55.4927	0	112.4775	30.4745	0	504.4454	0	0	0	28.1425	178.8109	242.9624	29.6416	70.6739	0	175.917	75.6201	413.337	119.5186	127.6188	144.7341	0	0	0	59.029267	105.46767	117.416178
hsa-miR-31-5p	834.0732	691.85	1243.4915	1364.9927	954.4738	1817.1129	1774.6451	934.551	1551.0434	2837.5055	794.9126	530.504	314.2184	1744.8323	2369.2445	2186.6614	750.9214	2226.2271	797.9572	1407.3357	2873.5632	3031.1381	1589.5971	1701.5846	1350.8515	2033.0212	435.019	260.9376	1240.692622	1455.29844	1631.449778
hsa-miR-3117-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0712	0	0	0	0	0	0	0	275.558	0	0	0	0	0	0	0	1.40712	30.617556
hsa-miR-3117-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.6067	0	0	0	0	6.845189
hsa-miR-3125	0	0	5.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.630889	0	0
hsa-miR-3126-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0712	0	0	0	0	0	0	75.6201	0	0	0	0	0	0	0	0	1.40712	8.402233
hsa-miR-3126-5p	26.9056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.989511	0	0
hsa-miR-3127-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.9585	0	0	0	0	0	0	0	0	0	0	9.773167
hsa-miR-3129-5p	0	0	0	0	0	0	0	10.1582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.128689	0	0
hsa-miR-3130-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.6067	0	0	0	0	6.845189
hsa-miR-3130-5p	0	138.37	11.3561	0	0	0	0	20.3163	0	0	0	0	0	0	0	0	9.8805	0	0	0	0	0	0	0	0	0	0	0	18.8936	0.98805	0
hsa-miR-3138	0	0	0	0	0	0	12.4975	0	0	63.0557	0	0	0	0	0	0	0	70.6739	0	0	0	0	11.9519	42.5396	0	0	0	0	1.388611	13.37296	6.054611
hsa-miR-3143	0	0	0	0	0	0	0	0	0	63.0557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.30557	0
hsa-miR-3144-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9519	0	0	0	0	0	0	0	1.327989
hsa-miR-3144-5p	0	0	0	0	0	0	0	30.4745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.6067	0	0	3.386056	0	6.845189
hsa-miR-3145-5p	0	0	0	0	0	0	0	0	70.502	0	0	0	0	0	44.7027	0	0	0	0	0	0	0	0	0	0	0	0	0	7.833556	4.47027	0
hsa-miR-3146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.8556	0	0	0	0	0	0	0	3.983956
hsa-miR-3154	0	0	0	0	0	0	0	0	0	0	0	0	62.8437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.28437	0
hsa-miR-3157-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0712	0	0	0	0	0	0	0	0	0	0	0	0	54.3774	0	0	1.40712	6.041933
hsa-miR-3158-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7611	0	0	0	0	0	0	0	0	0	0	0	0	1.97611	0
hsa-miR-3173-5p	0	0	11.3561	0	22.1971	0	37.4925	0	211.5059	0	0	0	0	0	0	77.3062	9.8805	0	0	0	0	0	47.8074	0	32.1631	0	0	0	31.394622	8.71867	8.885611
hsa-miR-3177-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9519	0	0	0	0	0	0	0	1.327989
hsa-miR-3179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8805	0	0	0	0	0	0	21.2698	0	0	0	0	0	0.98805	2.363311
hsa-miR-3187-3p	0	0	0	0	11.0985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.233167	0	0
hsa-miR-3192-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9519	0	0	0	0	0	0	0	1.327989
hsa-miR-3197	0	0	17.0341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.892678	0	0
hsa-miR-32-3p	215.2447	69.185	113.5609	190.4641	77.6897	0	274.945	203.1633	282.0079	378.3341	0	530.504	125.6874	253.2821	357.6218	77.3062	69.1638	35.3369	0	791.6264	415.9105	137.779	191.2297	276.5075	241.2235	0	380.6417	0	158.4734	182.72363	270.546478
